
QUESTION AVERAGES,,7.47058823529412,3.88235294117647,1.05882352941176,7.29411764705882,3.82352941176471,7.05882352941176,6.82352941176471,9,6.47058823529412,4,1.88235294117647,7.88235294117647,4.23529411764706,2.35294117647059,8.35294117647059,6.70588235294118,7,4.58823529411765,5.94117647058824,7.05882352941176,0.352941176470588,7.47058823529412,6.58823529411765,6.35294117647059,3.35294117647059,4.35294117647059,5.76470588235294,4.70588235294118,3.17647058823529,7.58823529411765,8.29411764705882,6.64705882352941,5.17647058823529,8.82352941176471,4.29411764705882,3.76470588235294,8.94117647058824,6,7.82352941176471,3.35294117647059,3.29411764705882,6.70588235294118,2.41176470588235,7.29411764705882,5.17647058823529,7.58823529411765,7.58823529411765,4.58823529411765,6.11764705882353,7.35294117647059,6.35294117647059,4.47058823529412,4.41176470588235,6.64705882352941,1.76470588235294,6.17647058823529,1.88235294117647,8.23529411764706,2.64705882352941,5.70588235294118,2.70588235294118,5.29411764705882,8.64705882352941,4.23529411764706,5.41176470588235,3.82352941176471,2.58823529411765,0
QUESTION AVERAGES,
RESULT AVERAGES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUESTION AVERAGES,
RESULT AVERAGES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUESTION AVERAGES,
RESULT AVERAGES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUESTION AVERAGES,
SCALED QUESTION AVERAGES,
RESULT AVERAGES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCALED RESULT AVERAGES
